省份,总单身数,男性单身数,女性单身数
北京,3434,2038,1396
天津,2224,1281,943
河北,7397,4459,2938
山西,5328,3095,2233
内蒙古,3415,1799,1615
辽宁,5355,3132,2223
吉林,2940,1712,1228
黑龙江,4791,2688,2104
上海,3103,1761,1343
江苏,9063,5070,3993
浙江,6981,4361,2620
安徽,7570,4603,2966
福建,4207,2537,1670
江西,5829,3626,2203
山东,10634,6207,4426
河南,12159,6931,5228
湖北,7885,4886,2999
湖南,8152,5002,3150
广东,21475,12922,8553
广西,7430,4632,2798
海南,1645,1042,602
重庆,3699,2205,1494
四川,10583,6132,4451
贵州,5120,3084,2036
云南,7063,4071,2992
西藏,649,344,304
陕西,5849,3278,2572
甘肃,3801,2202,1599
青海,856,523,334
宁夏,889,534,355
新疆,3044,1828,1216
