省份,总人口数,男性人口数,女性人口数
北京,18132,9324,8808
天津,13046,6961,6085
河北,62750,32082,30668
山西,30910,15909,15002
内蒙古,21136,10675,10461
辽宁,36668,18503,18165
吉林,22945,11665,11280
黑龙江,31874,16104,15770
上海,20188,10382,9806
江苏,66998,33738,33260
浙江,46831,24377,22454
安徽,52056,26727,25329
福建,32474,16540,15934
江西,38576,20069,18506
山东,83464,42579,40886
河南,80140,40834,39306
湖北,49384,25352,24032
湖南,57310,29286,28024
广东,92107,48869,43238
广西,40677,21161,19516
海南,7698,4058,3641
重庆,25560,12992,12568
四川,69457,34682,34775
贵州,29915,15438,14476
云南,40141,20285,19855
西藏,2789,1410,1380
陕西,32014,16160,15854
甘肃,21960,11134,10826
青海,4987,2564,2423
宁夏,5666,2925,2741
新疆,20165,10303,9861
