省份,总人数,男性人数,女性人数
北京,7967,4088,3880
天津,3503,1866,1638
河北,5736,2916,2820
山西,4272,2255,2018
内蒙古,3551,1847,1704
辽宁,5988,3015,2973
吉林,3164,1634,1530
黑龙江,4049,2044,2007
上海,6418,3329,3089
江苏,10739,5562,5176
浙江,6850,3852,2999
安徽,4515,2539,1977
福建,4418,2218,2201
江西,2954,1648,1305
山东,10084,5158,4925
河南,6290,3119,3172
湖北,7346,4036,3310
湖南,6188,3388,2800
广东,11892,6151,5740
广西,2806,1469,1337
海南,919,474,445
重庆,3235,1642,1593
四川,6886,3630,3257
贵州,2584,1367,1217
云南,3109,1619,1490
西藏,210,107,103
陕西,4502,1880,2624
甘肃,2801,1520,1282
青海,526,289,237
宁夏,819,401,415
新疆,3270,1613,1658
