省份,总人数,男性人数,女性人数
北京,7729,4099,3630
天津,3176,1604,1571
河北,5966,3098,2867
山西,3941,2077,1864
内蒙古,3640,1801,1839
辽宁,6331,3244,3087
吉林,3093,1597,1497
黑龙江,4159,2034,2124
上海,5791,3028,2763
江苏,10458,5508,4950
浙江,6705,3692,3013
安徽,4515,2606,1909
福建,3421,1845,1576
江西,3177,1977,1200
山东,9499,5064,4436
河南,5870,2886,2983
湖北,6406,3518,2888
湖南,6184,3438,2747
广东,11779,6474,5304
广西,2954,1600,1355
海南,685,395,288
重庆,3038,1596,1442
四川,5869,2854,3015
贵州,1905,1025,881
云南,3210,1456,1755
西藏,132,59,73
陕西,3822,1755,2067
甘肃,2191,1184,1006
青海,444,241,204
宁夏,801,428,374
新疆,2483,1240,1241
