省份,总单身数,男性单身数,女性单身数
北京,3599,1979,1620
天津,2563,1542,1020
河北,7519,4236,3284
山西,5315,3264,2051
内蒙古,2951,1601,1350
辽宁,5385,2945,2441
吉林,2665,1567,1097
黑龙江,4258,2476,1782
上海,3102,1767,1335
江苏,8558,4844,3714
浙江,6881,4487,2394
安徽,6826,4244,2582
福建,4594,2688,1906
江西,5633,3370,2264
山东,9779,5625,4154
河南,11841,6910,4931
湖北,8311,5196,3115
湖南,7996,4840,3156
广东,19202,11386,7816
广西,7284,4569,2715
海南,1621,961,660
重庆,3421,1990,1432
四川,10809,6514,4296
贵州,5254,3163,2091
云南,7500,4668,2832
西藏,592,317,275
陕西,5460,2777,2683
甘肃,3526,2099,1427
青海,802,484,318
宁夏,1037,481,556
新疆,2874,1697,1178
