省份,总人口数,男性人口数,女性人口数
北京,17673,8781,8892
天津,12794,6863,5931
河北,61907,31210,30697
山西,30481,15593,14888
内蒙古,20781,10608,10174
辽宁,35744,17905,17839
吉林,22173,11198,10975
黑龙江,30946,15697,15249
上海,19877,10256,9621
江苏,65996,33555,32441
浙江,47034,24418,22616
安徽,51812,26667,25145
福建,32309,16806,15503
江西,38080,19579,18500
山东,82408,41363,41045
河南,78679,39815,38864
湖北,48498,24973,23525
湖南,56516,28469,28047
广东,93024,50209,42815
广西,40353,20996,19357
海南,7658,3917,3741
重庆,25416,12730,12686
四川,68344,33944,34400
贵州,29487,15403,14084
云南,39584,20523,19061
西藏,2817,1401,1416
陕西,31684,15879,15804
甘肃,21614,11001,10613
青海,4945,2571,2373
宁夏,5638,2794,2844
新疆,20375,10175,10200
